ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
12822549,JF389329,7/8/2022 20:30,017XX W 47TH ST,460,BATTERY,SIMPLE,SIDEWALK,FALSE,FALSE,931,9,15,61,08B,1165336,1873531,2022,1/3/2023 15:46,41.80856427,-87.66910615,"(41.808564273, -87.669106152)"
12831360,JF401154,7/5/2022 17:27,040XX W WILCOX ST,560,ASSAULT,SIMPLE,APARTMENT,FALSE,FALSE,1115,11,28,26,08A,1149523,1899031,2022,1/3/2023 15:46,41.8788603,-87.72644437,"(41.878860295, -87.726444365)"
12820906,JF388571,7/1/2022 0:00,055XX S WABASH AVE,820,THEFT,$500 AND UNDER,RESIDENCE,FALSE,FALSE,225,2,20,40,6,1177659,1868284,2022,1/3/2023 15:46,41.79389577,-87.62406717,"(41.793895774, -87.624067168)"
12810554,JF376263,6/14/2022 16:00,016XX W JUNEWAY TER,580,STALKING,SIMPLE,APARTMENT,FALSE,FALSE,2422,24,49,1,08A,1163897,1951492,2022,1/3/2023 15:46,42.02252483,-87.67217975,"(42.022524828, -87.672179752)"
12713141,JF259485,5/29/2022 0:00,014XX S MUSEUM CAMPUS DR,870,THEFT,POCKET-PICKING,SPORTS ARENA / STADIUM,FALSE,FALSE,132,1,4,33,6,,,2022,6/5/2022 16:48,,,
12810499,JF376212,5/28/2022 0:00,008XX E 81ST ST,810,THEFT,OVER $500,STREET,FALSE,FALSE,631,6,8,44,6,1183447,1851478,2022,1/3/2023 15:46,41.74764551,-87.6033662,"(41.747645513, -87.603366198)"
12814358,JF380185,4/8/2022 6:00,014XX E 53RD ST,820,THEFT,$500 AND UNDER,RESTAURANT,FALSE,FALSE,234,2,4,41,6,1186987,1870418,2022,1/3/2023 15:46,41.79953535,-87.58979472,"(41.79953535, -87.589794715)"
12627492,JF155325,2/20/2022 15:40,015XX W JARVIS AVE,880,THEFT,PURSE-SNATCHING,OTHER RAILROAD PROPERTY / TRAIN DEPOT,FALSE,FALSE,2423,24,49,1,6,,,2022,2/27/2022 15:48,,,
12628303,JF156765,2/7/2022 5:13,061XX N HAMILTON AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,FALSE,FALSE,2413,24,40,2,08A,,,2022,2/27/2022 15:48,,,
12591513,JF111705,1/13/2022 15:18,009XX N PULASKI RD,1320,CRIMINAL DAMAGE,TO VEHICLE,GAS STATION,FALSE,FALSE,1112,11,37,23,14,1149554,1905881,2022,1/3/2023 15:46,41.89765683,-87.72615257,"(41.89765683, -87.726152565)"
